2002 10 22 date incorporated - used by code to verify proper file is used
#
# This data, together with the fits generated by Nick Abel,
# constitute the UTA inner shell treatment in the code.
# This data file is based on files provided by Ehud Behar,
# and was originally published in
# >>refer	Fe	inner shell	Behar, E., Sako, M, Kahn, S.M., 
# >>refercon	2001, ApJ, 563, 497-504
# the fits were based on the paper
# >>refer	Fe	inner shell	Behar, E., & Netzer, H., 2002, ApJ, 570, 165-170
#
# all lines starting with # are comments and are ignored
# data are tab delimited
# these are all Fe lines - ion is stage of ionization, 0 is atom
#
# for atomic iron the statistical weights are given, since they were included
# in the original data file from Ehud.  These are zero in all other stages of
# ionization since they were not provided
#
# the last number is the absorption oscillator strength
#
#ion	g(u)	g(l)	wl	A	A/(A+A^a)	f
2	0	0	17.1192	1.0320E+10	6.2732E-05	5.5400E-04
2	0	0	17.3844	1.5410E+10	3.9350E-05	5.4310E-04
2	0	0	17.1162	1.2010E+10	7.0684E-05	5.2770E-04
2	0	0	17.3595	1.1360E+10	2.5166E-05	5.1300E-04
2	0	0	17.3145	8.0450E+09	2.4670E-05	4.4200E-04
2	0	0	17.2958	1.1960E+10	2.2634E-05	4.1730E-04
2	0	0	16.9977	9.3070E+09	2.3669E-05	4.0310E-04
2	0	0	17.1631	6.8210E+09	4.7630E-05	3.0120E-04
2	0	0	17.0142	8.7060E+09	2.3234E-05	2.9390E-04
2	0	0	17.1612	8.4600E+09	4.4879E-05	2.9060E-04
2	0	0	17.1296	5.3650E+09	4.6010E-05	2.8840E-04
2	0	0	17.2749	4.9770E+09	1.1494E-05	2.2270E-04
2	0	0	17.1446	4.9760E+09	2.3198E-05	2.1920E-04
2	0	0	17.2954	4.5300E+09	7.9024E-05	2.0320E-04
2	0	0	17.1258	4.0610E+09	2.8142E-05	1.7860E-04
2	0	0	17.1783	5.1630E+09	2.9218E-05	1.7770E-04
2	0	0	16.9701	3.6260E+09	3.3950E-05	1.5660E-04
2	0	0	17.2329	3.3020E+09	1.0157E-05	1.4700E-04
2	0	0	17.3296	3.1680E+09	4.8005E-05	1.4270E-04
2	0	0	17.0218	2.6820E+09	5.7124E-06	1.4230E-04
2	0	0	17.0819	3.2230E+09	2.0673E-05	1.4100E-04
2	0	0	17.3013	4.0110E+09	9.1241E-06	1.4000E-04
2	0	0	17.1070	3.1780E+09	1.6347E-05	1.3940E-04
2	0	0	17.2176	3.0830E+09	2.6350E-05	1.3700E-04
2	0	0	17.0637	2.8800E+09	1.3358E-05	1.2570E-04
2	0	0	17.2341	3.1900E+09	9.2651E-06	1.1050E-04
2	0	0	17.2105	2.4220E+09	1.8630E-05	1.0760E-04
2	0	0	17.1430	1.9050E+09	9.5154E-06	1.0250E-04
2	0	0	17.3107	2.4090E+09	6.2980E-06	8.4170E-05
2	0	0	16.8951	1.5880E+09	8.5698E-06	8.3040E-05
2	0	0	17.0294	2.3960E+09	5.7846E-06	8.0990E-05
2	0	0	17.1473	2.2230E+09	1.1115E-05	7.6220E-05
2	0	0	17.0880	2.2390E+09	1.8489E-05	7.6210E-05
2	0	0	17.0859	1.3720E+09	1.2371E-05	7.3400E-05
2	0	0	17.2047	2.0600E+09	6.1401E-06	7.1110E-05
2	0	0	17.1895	1.2590E+09	1.1132E-05	6.8170E-05
2	0	0	17.2038	1.5130E+09	1.5100E-05	6.7170E-05
2	0	0	16.9663	1.9990E+09	5.3306E-06	6.7080E-05
2	0	0	17.1520	1.9270E+09	1.0147E-05	6.6130E-05
2	0	0	17.2985	1.1870E+09	2.5095E-06	6.5100E-05
2	0	0	17.2277	1.4540E+09	1.3099E-05	6.4720E-05
2	0	0	17.1895	1.4170E+09	1.3521E-05	6.2770E-05
2	0	0	16.9636	1.8610E+09	9.3705E-06	6.2430E-05
2	0	0	17.1731	1.1160E+09	6.6746E-06	6.0300E-05
2	0	0	17.1650	1.7490E+09	1.1313E-05	6.0070E-05
2	0	0	17.1364	1.2560E+09	7.3969E-06	5.5290E-05
2	0	0	16.9856	1.5390E+09	1.2976E-05	5.1790E-05
2	0	0	17.2875	1.4700E+09	1.9165E-05	5.1220E-05
2	0	0	17.0403	1.1310E+09	7.1356E-06	4.9240E-05
2	0	0	17.2253	1.3990E+09	1.0464E-05	4.8410E-05
2	0	0	17.0745	1.3890E+09	7.7166E-06	4.7230E-05
2	0	0	17.1956	7.8080E+08	5.2332E-06	4.2310E-05
2	0	0	17.3254	1.1310E+09	1.1386E-05	3.9600E-05
2	0	0	17.2384	8.8690E+08	9.5293E-06	3.9510E-05
2	0	0	17.2024	8.7230E+08	6.4519E-06	3.8700E-05
2	0	0	17.2816	8.5790E+08	1.3288E-05	3.8410E-05
2	0	0	17.1005	1.0900E+09	8.3524E-06	3.7160E-05
2	0	0	16.9335	1.1070E+09	8.3295E-06	3.7010E-05
2	0	0	17.1855	1.0740E+09	5.0565E-06	3.6990E-05
2	0	0	16.9410	6.8940E+08	6.7588E-06	3.6260E-05
2	0	0	17.2524	1.0330E+09	1.2277E-05	3.5870E-05
2	0	0	16.9583	8.2630E+08	5.9318E-06	3.5630E-05
